Trees,,,,,
Sycamore,Platanus occidentalis,F-P,A-W,70-99',Leaves drop all summer; white mottled bark
Eastern Cottonwood,Populus deltoides,F,A,70-99',Modest fall color; can be messy
Large-tooth Aspen,Populus grandidentata,F,D-W,50-70',Fast growing; fall color; leaves flutter in wind
Wild Black Cherry,Prunus serotina,F-P,D,50-80',Messy tree; small edible berries in sum; attracts birds
White Oak,Quercus alba,F-P,D,60-99',"Brown, red, wine fall color; acorns eaten by wildlife"
Scarlet Oak,Quercus coccinea,F-P,D,75',Brilliant scarlet fall color; rapid growth
Southern Red Oak,Quercus falcata,P-S,D-A,70-90',Brown fall color; drought tolerant
Pin Oak,Quercus palustris,P-S,A-W,60-80',"Russett, bronze, red fall color"
Willow Oak,Quercus phellos,F-S,W-A,100+',Beautiful shade tree; good street tree; high branching
Sassafras,Sassafras albidum,F-P,D-A,30-60',"Yellow flowers(Apr) yellow, orange, to scarlet fall color"
Bald Cypress,Taxodium distichum,F,A-W,50-75',Deciduous needles turn russett in fall
American Basswood,Tilia americana,P-S,A-W,60-80',Wood used for carving; nectar makes honey; seeds
American Elm,Ulmus americana,F,A,60-80',Yellow fall color; high spreading canopy
,,,,,
Shrubs,,,,,
Common Name,Scientific Name,Sun,Moist.,Ht.,    Comments
Smooth Alder,Alus serrulata,F-S,W,15-20',Yellow & orange fall color; fruit eaten by birds
Red Chokeberry,Aronia arbutifolia,P-S,A-W,6-10',"Red berries load schrub, eaten by mammals & birds"
Paw Paw,Asimina triloba,P-S,A,40',Unique fruit resembles & tsstes like banana
Groundsel Tree,Baccharis halimifolia,F-P,A,3-10',White flower heads; attractive fall foliage
Common Buttonbush,Cephalanthus occidentalis,F-P,A,6-12',Golf-ball like fragrant flower clusters attract butterflies
Sweet Pepperbush,Clethra alnifolia,F-P,W-A,2-4',Ivory white fragrant blooms in summer
Silky Dogwood,Cornus amomum,P-S,A-W,6-10',Creamy-white flowers May-Jun; no fall color
Flowering Dogwood,Cornus florida,F-S,D-A,25-30',White flowers in spring become bird-attracting berries
American Hazelnut,Corylus americana,F-S,A,12-15',Edible nuts; suckering
Cockspur Hawthorn,Crataegus crus-galli,F,A-D,20-30',White flowers in spring; red fruit in sum; red fall color
Dwarf Hawthorn,Crataegus uniflora,F-P,A,12',White 5-petaled flowers(Apr-May); dull red berries(Oct)
Black Huckleberry,Gaylussacia baccata,P-S,D-A,1-3',Edible fruit - ancestor of blueberry
Dangleberry,Gaylussacia frondosa,P-S,A,3-6',Dark blue fruit is important to wildlife
American Witch-Hazel,Hamamelis virginiana,F-S,A-D,8-20',Golden yellow flowers in fall; spectacular fall color
Inkberry,Ilex glabra,P-S,A,4-8',Evergreen schrub; forms suckering colonies
Winterberry Holly,Ilex verticillata,F-P,A-D,6-15',Small red berries on female plants persist into winter
Virginia Willow,Itea virginica,F-P,W-D,3-6',"White blooms early summer; red, orange, maroon in fall"
Marsh Elder,Iva frutescens,F,A-W,8',No fall color; inconspicuous flowers; evergreen
Mountain Laurel,Kalmia latifolia,F-P,D-W,5',Terminal fragrant white flower clusters; wine fall color
Fetterbush,Leucothoe racemosa,F-P,A-W,3-13',Racemes of delicate bell shaped flowers(Apr-Jun)
Spicebush,Lindera benzoin,P-S,W-A,8-15',Yellow spicily fragrant blooms in early spring
Maleberry,Lyonia ligustrina,F-P,W-A,6-12',White flowers in June; fall color
Southern Bayberry,Myrica cerifera,P-S,D-A,15-20',Leaves are fragrant when crushed & olive green in color
Norhtern Bayberry,Myrica pensylvanica,F,D-W,5-8',Semi-evergreen; transplants well
American Plum,Prunus americana,F-P,W-D,12-20',"White fragrant flowers in spring; 1"" red or yellow fruit"
Beach Plum,Prunus maritima,F,A-D,10',Profusion of white blooms in spring; fruit makes jam
Dwarf Azalea,Rhododendron atlanticum,F-P,A,3-10',Pinkish white fragrant flowers in mid April
Pink Azalea,Rhodod. periclymenoides,F-P,A,6-10',"Variable color, but often pink; sometimes pink"
Swamp Azalea,Rhododendron viscosum,P,A-W,5-8',Fragrant white flowers in late spring - early summer
Winged Sumac,Rhus copallinum,F,D,8-20',Brilliant red fall foliage; fruit feeds birds; butterfly host
Smooth Sumac,Rhus glabra,F,D-A,9-15',Velvety red fruit on female plants persists into winter
Staghorn Sumac,Rhus hirta,F-P,A-D,30',Provides food & shelter for wildlife; suckering
Swamp Rose,Rosa palustris,F,W-A,4-6',Fragrant flowers in summer; red hips persist; fall color
Common Elderberry,Sambucus canadensis,F-S,A-W,5-12',Showy white flowers(Jul); edible fruit in September
Highbush Blueberry,Vaccinium corymbosum,F-P,A,6-12',Brilliant red fall foliage; fruit attracts wildlife
Early Lowbush Blueber.,Vaccinium pallidum,F-P,A-D,"24""",Small white bell-shaped flowers in late spring; fall color
Squaw Huckleberry,Vaccinium stamineum,P,A-D,6-8',White bell-shaped flowers in late spring; fall color
Maple-leaf Viburnum,Viburnum acerifolium,F-P,A-D,6',Pie-shaped clusters of creamy-white flowers; fall color
Southern Arrowwood,Viburnum dentatum,F-P,D-A,5-9',Flowers May-Jun; small blue-black berries in fall
Possumhaw viburnum,Viburnum nudum,P-S,W,5-20',Clusters of small white-flowers (May-Jul)
Smooth Blackhaw,viburnum prunifolium,F-P,A,12-15',White flowers(spring); edible fruit attracts birds
,,,,,
Vines,,,,,
Common Name,Scientific Name,Sun,Moist.,Ht.,    Comments
Trumpet Creeper,Campsis radicans,F-P,A-D,20-40',Orange flowers attract hummingbirds; flowers in full sun
Trumpet Honeysuckle,Lonicera sempervirens,F-P,A,15-25',Red/yellow trumpet-shaped flowers; berries attract birds
Virginia Creeper,Parthenocissus quinquefolia,F-P,A,30-50',Excellent red fall color; attracts birds
Glaucous-leaf Greenbriar,Smilax Glauca,P-F,D-A,10-20',Thorny vine with small fragrant flowers; berries for birds
,,,,,
Flowering Perennials,,,,,
Common Name,Scientific Name,Sun,Moist.,Ht.,     Comments
Virginia anamone,Anemone virginiana,S,A,1-3',White flowers in summer; dried seed heads nice cuttings
Jack-in-the-Pulpit,Arisaema triphyllum,P-S,A,"12+""",Spathe appears Mar-May; red berries late sum/fall
Canada Wild Ginger,Asarum canadense,S,A,"4-6""","Evergreen groundcover, glossy heart shaped leaves"
Swamp Milkweed,Asclepias incarnata,F,A,"12-36""",Pink to white flowers in the spring
Butterfly Milkweed,Asclepias tuberosa,F-P,A,"24-36""",Clusters of brilliant orange flowers attract butterflies
White Wood Aster,Aster divarticus,F-P,D-A,1-3',Clusters of white flowers late summer into fall
New England Aster,Aster novi-angliae,F-P,A,"40-60""",Bright lavender flowers with yellow centers late summer
Cutleaf Toothwort,Cardamine concatenata,P,A-W,"8-16""",Terminal clusters of four-petaled white or pinkish flowers
Blue Cohosh,Caulophyllum thalictroides,P-S,A,1-2',Small yellow-green flowers(spring) blue berries in cluster
White Turtlehead,Chelone glabra,P-S,W,1-3',"White to pink 1.5"" flowers summer into fall"
Maryland Golden Aster,Chrysopsis mariana,F,D,2-3',"Bright yellow clusters of loose, single 1"" daisy-like flower"
Black Bugbane,Cimifuga racemosa,P-S,A,3-8',Long slender candle-like clusters of white flowers
Yellow Thistle,Cirsium horridulum,F,A-D,"36-48""",Purple flower attracts bees and butterflies
Canada Horsebalm,Collinsonia canadensis,S-P,A,3-4',Large oval fragrant leaves; small flowers late summer
Blue Boneset,Eupatorium coelestinum,F-P,A,1-3',Dense clusters of blue/purple flowers late summer
Wild Comfrey,Cynoglossum virginianum,F-P,A,"24-36""",White flowers(spring-sum) attracts butterflies
Dutchman's Breeches,Dicentra cucullaria,S,A,"5-12""",White & yellow flowers resembling a pair of pantaloons
Joe-Pye Thoroughwort,Eupatorium dubium,F,A-D,3-4',Mauve-pink clusters above attractive green foliage
Hollow Joe-Pye Weed,Eupatorium fistulosum,F,A,3-10',Pinkish-purple clusters above lance-like fragrant leaves
Hyssop-leaf Thoroughw.,Eupatorium hyssopifolium,F-P,A,"36-48""",White flowers Aug-Nov draw butterflies
Common Boneset,Eupatorium perfoliatum,F-P,A-W,2-4',Flat-top clusters of small white flowers in fall
Sweet Joe-Pye Weed,Eupatorium purpureum,F-P,A,"48-80""",Large pink flowers attract butterflies in droves Aug-Sept
Grassleaf Goldenrod,Euthamia graminifolia,F-P,A-W,3-5',Yellow flowers Aug-Sept
Wild Crane's Bill,Geranium maculatum,F-S,A,1-2',"1"" lavender-purple flowers in spring & summer"
Purple-he. Sneezeweed,Helenium flexuosum,F-P,A,2-3',"Purplish brown disk contracting yellow, toothed petals"
Swamp Sunflower,Helianthus angustifolius,F,A,6',Yellow flowers abound late sum & fall; cut back in June
Swamp Rosemallow,Hibiscus moscheutos,F,W,4-7',"4-6"" white or pink flowers with purplish-crimson base"
Blueflag Iris,Iris versicolor,F-P,A,2-3',"3-4"" blue flowers with yellow & white markings"
Turk's Cap Lily,Lilium superbum,F-P,A,4-6',Gorgeous orange/yellow flowers;likes am sun/pm shade
Cardinal Flower,Lobelia cardinalis,F-P,A,"24-54""","Terminal clusters of bright red 1.5"" flowers in fall"
Great Blue Lobelia,Lobelia siphilitica,F-P,A,"12-24""",Elongated clusters of pale to dark blue flowers late sum
Whorled loosestrife,Lysimachia quadrifolia,F,D-A,1-3',Star-like 5-petaled yellow flowers have reddish center
False Solomon's Seal,Maianthemum racemosum,S,A,"12-18""",White blooms May-Jun; red berries late summer
Indian Cucumber Root,Medeola virginiana,S,A,"6""",Showy fall color; tastes like cucumber
Virginia Bluebells,Mertensia virginica,F-S,A,"12-24""",Pink flowers buds open to sky blue flowers Mar-Apr
Squarestem Monkey F.,Mimulus ringens,F,W,2-5',"1"" violet flowers in summer & fall"
Horsemint,Monarda punctata,F,D,1-3',Fragrant pink flowers held above foliage summer/fall
Evening Primrose,Oenothera biennis,F-P,D-A,2-6',"Lemon scented flowers open at dusk, close by noon"
Prickly Pear Cactus,Opuntia humifusa,F-P,D-A,"6-18""",Beautiful yellow flowers; edible; cactus
Tall White Beardtongue,Penstemon digitalis,F-P,A,"30-50""",Long blooming pure white flowers Jun-Jul
Mayapple,Podophyllum peltatum,P-S,A,"12-18""","1"" solitary white bloom at the fork of 2 leaf stalks"
Greek Valerian,Polemonium reptans,S,A,"12-18""",Terminal clusters of light blue bell-shaped flowers in Apr
Solomon's Seal,Polygonatum biflorum,P-S,D-A,2-3',".5"" bell-shaped white flowers hang from leaf axils"
Black-eyed Susan,Rudbeckia hirta,F-P,A,"24-36""","2-4"" flowers with 10-20 bright yellow petals sum/fall"
Cutleaf Coneflower,Rudbeckia laciniata,F-P,A,9',Yellow rays with a green center; attracts butterflies
Bloodroot,Sanguinaria canadensis,S,A,"6-12""","2"" white flowers with yellow centers; sap in root is red"
Golden Ragwort,Senecio aureus,P-S,A,"6-12""",Semi-evergreen; clusters of yellow flowers in spring
White Goldenrod,Solidago bicolor,F,A,3',Silvery white flowers Jul-Oct
Bluestem Goldenrod,Solidago caesia,F-S,A-D,1-3',Stems are studded with clusters of tiny yellow florets
Sweet Goldenrod,Solidago odora,P,D,1-2',"Fragrant species, leaves smell like anise; good for tea"
Rough-leaf Goldenrod,Solidago rugosa,F-P,A,2-5',Tiny flowers look like strings of yellow beads Aug-Oct
Seaside Goldenrod,Solidago sempervirens,F-P,A,1-8',".3"" bright yellow flowers form clusters late sum/early fall"
Virginia Spiderwort,Tradescantia virginiana,P-F,A,"18-36""",Grass-like leaves & 3-petaled violet-blue flowers
Blue Vervain,Verbena hastata,F-P,A-W,5',Small blue flowers crowd onto several terminal spikes
New York Ironweed,Vernonia noveboracensis,F-P,W,4-6',Purple flowers attract butterflies in the summer
Common Yucca,Yucca filamentosa,F,A-D,3',Waxy cream bells on 5' stalks; stiff green blades
,,,,,
Perennial Ferns,,,,,
Common Name,Scientific Name,Sun,Moist.,Ht.,     Comments
Maidenhair Fern,Adiantum pedatum,P-S,A,"18-36""",fan-shaped green fronds held on delicate black stems
Lady Fern,Athyrium filix-femina,S,A-W,"18-24""","Delicate & lacy arching fronds, red stems at maturity"
Silvery Spleenwort,Deparia acrostichoides,F-S,A,2-3',Needs constant moisture; straw fall color
Spinulose Wood Fern,Dryopteris carthusiana,P-S,A-W,2-3',"Nearly tri-pinnate, very lacy looking"
Crested Wood Fern,Dryopteris cristata,F-P,W-A,2-5',Upright blade with sparse pinnea perpendicular
Evergreen Wood Fern,Dryopteris intermedia,S,A,2-3',Must not dry out; dark green lacy fronds
Marginal Wood Fern,Dryopteris marginalis,P-S,A-W,"18-24""",Evergreen fern grayish-green deeply cut leathery fronds
Sensitive Fern,Onoclea sensiblilis,F-P,W,"12-24""",Deeply pinnate leaves; poisonous to livestock
Cinnamon Fern,Osmunda cinnamomea,P-S,A-W,"24-48""",Circular clusters of arching fronds; brown fertile fronds
Interrupted Fern,Osmunda claytonia,S,D,3-4',Fertile leaflets interrupt the fronds; light green
Royal Fern,Osmunda regalis,P,A-W,2-6',Bi-pinnate blade; pinnae resemble locust tree leaves
Christmas Fern,Polystichum acrostichoides,P-S,A,"12-36""",Stiff deep green fronds are once-pinnate
Bracken Fern,Pteridium aquilinum,P-F,A-W,2-7',Attractive branching fern; is not a round cluster
,,,,,
"Grasses, Sedges & Rushes",,,,,
Common Name,Scientific Name,Sun,Moist.,Ht.,     Comments
Broom Sedge,Andropogon virginicus,F-P,D-W,4',Green leaves/stems turn purple & bright orange in fall
Tussock Sedge,Carex stricta,F-P,A-W,2-3',Evergreen; blue flowers dissappear quickly; likes full sun
Three-way Sedge,Dulichium arundinaceum,F-P,W,1-2',"Will thrive in up to 2"" standing water; resembles bambo"
Squarestem Spikerush,Eleocharis quadrangulata,F-P,W,"24""",4-sided stems; wetland plant
Virginia Wild Rye,Elymus virginicus,P-S,D-A,3',"Distinguished by relatively stiff, erect spikes"
Purple Love Grass,Eragrostis spectabilis,F,A,"18-24""",Fluffy clouds of bronze-red inflorescences summer/fall
Canada Rush,Juncus canadensis,F-P,A-W,3',Rapid growth; green foliage & flower
Smooth Rush,Juncus effusus,F-P,A-W,3',"Bright green cylindrical stems without nodes, no leaves"
Switch Panic Grass,Panicum virgatum,F-P,D-W,4-6',Bluish cast in summer; reddish fall color
Little Bluestem,Schizachyrium scoparium,F-P,D-A,2-4',"Bright green to light blue leaves turn copper, orange"
Cottongrass Bulrush,Scirpus cyperinus,F,W-A,3-5',Clumping grass-like perennial; wooly seed heads in fall
Yellow Indian Grass,Sorghastrum nutans,F-P,A-D,3-6',Foliage varies from drooping & green to upright and blue
